format	path	bytes	sha256	source_type	source_url	license	license_file	derivation	review_status
tex	tex/latex2e-sample.tex	7200	f135855f870c31f1101001bdb75b11e94a23c2605f7ab5dffa1299d53b1977cc	audited_snapshot	https://github.com/latex3/latex2e/blob/main/base/sample2e.tex	LPPL-1.3c	tex/licenses/LPPL-1.3c-latex2e.txt	promoted from quality-lab approved source cache	approved
rst	rst/docutils-quickstart.rst	11822	31c291293ddf15513e9709faa36da0fb42904a4ec513e7e7d4226d027dad07b9	audited_snapshot	https://github.com/docutils/docutils/blob/master/docutils/docs/user/rst/quickstart.rst	Public-Domain	rst/licenses/Public-Domain-docutils.rst	promoted from quality-lab approved source cache	approved
asciidoc	asciidoc/asciidoctor-readme.adoc	20494	18c0db23bc4528a768824e5b84bc3a2ad4c62c897cc764c18cac0c4e119eac08	audited_snapshot	https://github.com/asciidoctor/asciidoctor/blob/main/README.adoc	MIT	asciidoc/licenses/MIT-asciidoctor.txt	promoted from quality-lab approved source cache	approved
zip	zip/sherlock-holmes-html.zip	363976	2aeab5cd85c3dbbaa9d9fabd3ef7770faf755e54cd6bd5d243c856090f6b9d01	audited_snapshot	https://www.gutenberg.org/cache/epub/1661/pg1661-h.zip	Public-Domain-US;Project-Gutenberg-Terms	zip/licenses/Project-Gutenberg-Permission.html;zip/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot; embedded notice retained	approved
epub	epub/alice-in-wonderland.epub	189196	b976d473e774aff4d2279ec3372708d7740baa7fcee3154187997986b3325bae	audited_snapshot	https://www.gutenberg.org/ebooks/11.epub3.images	Public-Domain-US;Project-Gutenberg-Terms	epub/licenses/Project-Gutenberg-Permission.html;epub/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot; embedded notice retained	approved
docx	docx/dvla-driving-licence-guide.docx	22817	4f330dbb878996b684409933a1dde9c28bc22fd5119326aff1be5ee5c91ac021	audited_snapshot	https://data.dft.gov.uk/driving-licence-data/driving-licence-data-user-guide-sep-2017.docx	OGL-UK-3.0	docx/licenses/OGL-UK-3.0.html;docx/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot	approved
xlsx	xlsx/ons-regional-population.xlsx	680936	1909312f73491a193181fcb86751987344145024283279393c9e7a04555b1a08	audited_snapshot	https://www.ons.gov.uk/file?uri=%2Fpeoplepopulationandcommunity%2Fpopulationandmigration%2Fpopulationestimates%2Fdatasets%2Fpopulationestimatesforukenglandandwalesscotlandandnorthernireland%2Fmid2001tomid2020detailedtimeseries%2Fregionalpopestimatesenglandandwales19712020.xlsx	OGL-UK-3.0	xlsx/licenses/OGL-UK-3.0.html;xlsx/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot	approved
pptx	pptx/nhs-diabetes-programme.pptx	452637	a93961619bd3bee20cf5726a966a1b7d9930b6095acd5e3dc35edd53ad403fca	audited_snapshot	https://files.digital.nhs.uk/A6/CD0E5A/NDA_DPP_MainReport_1718_1.1.pptx	OGL-UK-3.0	pptx/licenses/OGL-UK-3.0.html;pptx/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot	approved
odt	odt/rfc3986.odt	45317	322062da8e3dd29bc5bda81839211122257fcc4fe73486aef5ecd4ece5e9875d	derived	https://www.rfc-editor.org/rfc/rfc3986.txt	Apache-2.0-wrapper;IETF-Trust-TLP	odt/licenses/IETF-Trust-Legal-Provisions.html	complete RFC text mapped to deterministic ODT paragraphs and headings	approved
ods	ods/usgs-earthquakes.ods	24036	e2adfef5cca4990a885c6ef8c44efeb377d11b8538ef491d8069b27cdca2d64b	derived	https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/all_day.csv	Apache-2.0-wrapper;US-Public-Domain	ods/licenses/EXTERNAL-BENCH-PROVENANCE.md	USGS snapshot mapped to About and Earthquakes sheets	approved
odp	odp/nhs-diabetes-programme.odp	4983	3c6ce49e3aa7c6e598cde916bf241b47a55db84cbba9ff40fa43cd56b553126c	derived	https://files.digital.nhs.uk/A6/CD0E5A/NDA_DPP_MainReport_1718_1.1.pptx	Apache-2.0-wrapper;OGL-UK-3.0	odp/licenses/OGL-UK-3.0.html;odp/licenses/EXTERNAL-BENCH-PROVENANCE.md	text from all 15 source slides mapped to 15 deterministic ODP pages	approved
pdf	pdf/nist-zero-trust-architecture.pdf	966908	0290d6ece24874287316f4bf430fef770aa4ec08a2227c8f2c1e5b2ff975e03d	audited_snapshot	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf	NIST-Publication-Terms	pdf/licenses/EXTERNAL-BENCH-PROVENANCE.md	promoted from quality-lab audited benchmark snapshot	approved
