id	format	path	source_type	license_status	privacy	size_class	features	expected_signals	quality_tier	notes
pdf_simple_table_like_repo_sample	pdf	samples/main_process/pdf/pdf_simple_table_like.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;table;layout;repo_sample	no_empty_output;table_marker;contains_all:| Product | Region | Status || Alpha | East | Open || Beta | West | Closed |;order:| Product | Region | Status || Alpha | East | Open || Beta | West | Closed |;exact_count:| Product | Region | Status |=1;exact_count:| Alpha | East | Open |=1;exact_count:| Beta | West | Closed |=1;not_contains:Product Region Status Alpha	reference	Checked-in repo PDF sample guarding stable table-like layout promotion instead of merged paragraph text
pdf_not_heading_sentence_repo_sample	pdf	samples/main_process/pdf/not_heading_sentence.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;heading;short_sentence;repo_sample	no_empty_output;contains_all:This is a short sentence.|It should remain a paragraph.|结论如下。|这个句子虽然短，但它是正文的一部分。;order:This is a short sentence.|It should remain a paragraph.|结论如下。|这个句子虽然短，但它是正文的一部分。;exact_count:This is a short sentence.=1;exact_count:It should remain a paragraph.=1;exact_count:结论如下。=1;not_contains:# This is a short sentence.;not_contains:# 结论如下。	reference	Checked-in repo PDF sample guarding that short English and Chinese body sentences stay as paragraphs instead of false headings
pdf_cross_page_paragraph_repo_sample	pdf	samples/main_process/pdf/pdf_cross_page_paragraph.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;cross_page;paragraph_merge;repo_sample	no_empty_output;contains_all:# Cross Page Paragraph|## Next Section|This paragraph starts on the first page and is intentionally written to flow near the bottom of the page.|A new paragraph starts here and should remain separate from the previous one.;order:# Cross Page Paragraph|This paragraph starts on the first page and is intentionally written to flow near the bottom of the page.|## Next Section|A new paragraph starts here and should remain separate from the previous one.;exact_count:This paragraph starts on the first page and is intentionally written to flow near the bottom of the page. The goal of this sample is to verify that a paragraph should not be split only because a page boundary appears in the extracted text. In many PDFs, the end of one page and the beginning of the next page still belong to the same logical paragraph. This sample therefore places the final sentence so that it continues across the page break and should still become a single paragraph after the parser removes simple page-level noise such as page numbers or repeated headers.=1;exact_count:## Next Section=1;exact_count:A new paragraph starts here and should remain separate from the previous one. It exists to confirm that cross-page merging does not accidentally swallow the next real section.=1	reference	Checked-in repo PDF sample guarding cross-page paragraph merge while preserving the next real section boundary
pdf_page_noise_cleanup_repo_sample	pdf	samples/main_process/pdf/pdf_page_noise_cleanup.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;page_noise;cleanup;repo_sample	no_empty_output;contains_all:Alpha page content.|Beta page content.|Gamma page content.|Delta page content.;order:Alpha page content.|Beta page content.|Gamma page content.|Delta page content.;exact_count:Alpha page content.=1;exact_count:Beta page content.=1;exact_count:Gamma page content.=1;exact_count:Delta page content.=1	reference	Checked-in repo PDF sample guarding page-level noise cleanup without dropping the body text from later pages
pdf_repeated_header_footer_variants_repo_sample	pdf	samples/main_process/pdf/pdf_repeated_header_footer_variants.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;header_footer;noise_cleanup;repo_sample	no_empty_output;contains_all:# Project Report|## Summary|## Details|## Conclusion;order:# Project Report|## Summary|This is the first page content. It introduces the background and scope of the document. The page is intentionally simple so that repeated header and footer text can be isolated as noise rather than confused with real content.|## Details|This is the second page content. It provides the main details and should remain after header and footer cleanup. The text is different from the first page so that the cleanup logic does not mistake all repeated patterns for removable content.|## Conclusion|This is the third page content. It closes the report and confirms the expected behavior of repeated header and footer normalization. The final page should still preserve its heading and paragraph after noise removal.;exact_count:# Project Report=1;exact_count:## Summary=1;exact_count:## Details=1;exact_count:## Conclusion=1	reference	Checked-in repo PDF sample guarding repeated header/footer cleanup across a richer three-page report with distinct section bodies
pdf_text_hardwrap_repo_sample	pdf	samples/main_process/pdf/text_hardwrap.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;hardwrap;text_merge;repo_sample	no_empty_output;contains_all:# Hard Wrap Test|This is a line that is hard wrapped every few words like many PDF extractors do.|下一段：中文也可能被硬换行拆开但我们希望输出合并成一句。;order:# Hard Wrap Test|This is a line that is hard wrapped every few words like many PDF extractors do.|下一段：中文也可能被硬换行拆开但我们希望输出合并成一句。;exact_count:This is a line that is hard wrapped every few words like many PDF extractors do.=1;exact_count:下一段：中文也可能被硬换行拆开但我们希望输出合并成一句。=1	reference	Checked-in repo PDF sample guarding hard-wrap cleanup for both English and Chinese paragraph text
pdf_hardwrap_en_repo_sample	pdf	samples/main_process/pdf/hardwrap_en.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;hardwrap;english;repo_sample	no_empty_output;contains_all:# Document Conversion Pipeline|This project aims to build a unified document conversion pipeline for docx, pdf, xlsx, pptx, and html.|The parser should support international text processing and preserve semantic structure whenever possible.;order:# Document Conversion Pipeline|This project aims to build a unified document conversion pipeline for docx, pdf, xlsx, pptx, and html.|The parser should support international text processing and preserve semantic structure whenever possible.;exact_count:This project aims to build a unified document conversion pipeline for docx, pdf, xlsx, pptx, and html.=1;exact_count:The parser should support international text processing and preserve semantic structure whenever possible.=1	reference	Checked-in repo PDF sample guarding English hard-wrap paragraph merge and stable text-basics extraction
pdf_hardwrap_zh_repo_sample	pdf	samples/main_process/pdf/hardwrap_zh.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;hardwrap;chinese;repo_sample	no_empty_output;contains_all:# 研究内容|本项目主要研究多格式文档到 Markdown 的统一转换问题。|# 技术路线|首先完成统一 IR，然后逐步支持 docx、pdf、xlsx、pptx 和 html。;order:# 研究内容|本项目主要研究多格式文档到 Markdown 的统一转换问题。|# 技术路线|首先完成统一 IR，然后逐步支持 docx、pdf、xlsx、pptx 和 html。;exact_count:本项目主要研究多格式文档到 Markdown 的统一转换问题。=1;exact_count:首先完成统一 IR，然后逐步支持 docx、pdf、xlsx、pptx 和 html。=1	reference	Checked-in repo PDF sample guarding Chinese hard-wrap cleanup without losing sentence flow or heading structure
pdf_text_simple_repo_sample	pdf	samples/main_process/pdf/text_simple.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;text;simple;repo_sample	no_empty_output;contains_all:# MarkItDown MoonBit MVP 测试（Simple）|第一段：这是一个用于验证 PDF 文本抽取的样例。应该保持为一个段落。|Second paragraph: this is an English paragraph for testing.|第三段：混合内容 2026-02-19，含标点符号：，。；！;order:# MarkItDown MoonBit MVP 测试（Simple）|第一段：这是一个用于验证 PDF 文本抽取的样例。应该保持为一个段落。|Second paragraph: this is an English paragraph for testing.|第三段：混合内容 2026-02-19，含标点符号：，。；！;exact_count:第一段：这是一个用于验证 PDF 文本抽取的样例。应该保持为一个段落。=1;exact_count:Second paragraph: this is an English paragraph for testing.=1;exact_count:第三段：混合内容 2026-02-19，含标点符号：，。；！=1	reference	Checked-in repo PDF sample guarding baseline title-plus-paragraph text extraction across Chinese, English, and punctuation-heavy content
pdf_text_multipage_repo_sample	pdf	samples/main_process/pdf/text_multipage.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;text;multipage;repo_sample	no_empty_output;contains_all:This is page one.|This is page two.;order:This is page one.|This is page two.;exact_count:This is page one.=1;exact_count:This is page two.=1	reference	Checked-in repo PDF sample guarding multipage text order and retention of later-page body content
pdf_ocr_single_page_repo_sample	pdf	samples/main_process/pdf/ocr/pdf_ocr_single_page.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;pdf_ocr;ocr_lang:eng;repo_sample	no_empty_output;contains_all:MoonBit OCR|Sample 123;exact_count:MoonBit OCR=1;exact_count:Sample 123=1	reference	Checked-in repo scanned-PDF sample guarding the explicit PDF OCR path on a single page without involving native-text fallback
pdf_ocr_two_page_repo_sample	pdf	samples/main_process/pdf/ocr/pdf_ocr_two_page.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;pdf_ocr;ocr_lang:eng;repo_sample	no_empty_output;contains_all:MoonBit OCR|Sample 123;exact_count:MoonBit OCR=2;exact_count:Sample 123=2;order:MoonBit OCR|Sample 123|MoonBit OCR|Sample 123	reference	Checked-in repo scanned-PDF sample guarding multi-page explicit PDF OCR aggregation through the layout-two-stage OCR-only route
docx_textbox_basic_repo_accurate_counts	docx	samples/main_process/docx/markdown/docx_textbox_basic.docx	tool_fixture	Apache-2.0	repo_tracked	small	docx;textbox;accurate;repo_sample;count_guard	no_empty_output;exact_count:Body before.=1;exact_count:Text box body.=1;exact_count:Body after.=1;max_count:## Text Boxes=0;order:Body before.|Text box body.|Body after.	reference	Checked-in repo DOCX sample guarding Accurate textbox anchoring back into body order instead of the balanced appendix fallback
xlsx_hidden_sheets_policy_repo_accurate_counts	xlsx	samples/main_process/xlsx/markdown/xlsx_hidden_sheets_policy.xlsx	tool_fixture	Apache-2.0	repo_tracked	small	xlsx;hidden_sheet;accurate;repo_sample;count_guard	no_empty_output;exact_count:## Visible=1;exact_count:## HiddenData=1;exact_count:## VeryHiddenAudit=1;exact_count:| Public | Value |=1;exact_count:| secret |=1;exact_count:| classification | veryHidden |=1;max_count:(empty sheet)=0;table_marker;order:## Visible|alpha|## HiddenData|secret|## VeryHiddenAudit|classification	reference	Checked-in repo XLSX sample guarding Accurate hidden-sheet inclusion, including very-hidden sheet materialization, instead of the balanced visible-only policy
xlsx_hidden_rows_apache_poi_group_test_accurate_counts	xlsx	markitdown-quality-lab/external_quality/xlsx/apache-poi/GroupTest.xlsx	tool_fixture	Apache-2.0	repo_tracked	small	xlsx;hidden_rows;accurate;count_guard	no_empty_output;exact_count:## Sheet1=1;exact_count:| inner |=10;exact_count:| expanded |=7;exact_count:| collapsed |=8;table_marker;order:## Sheet1|inner|expanded|collapsed	reference	Accurate XLSX guard on Apache POI grouped-row workbook; requires hidden grouped rows to be materialized instead of staying on the balanced visible-only policy
pptx_callout_blocks_basic_repo_accurate_counts	pptx	samples/main_process/pptx/markdown/pptx_callout_blocks_basic.pptx	tool_fixture	Apache-2.0	repo_tracked	small	pptx;reading_order;accurate;repo_sample;count_guard	no_empty_output;exact_count:### Release Notes=1;exact_count:Export=1;exact_count:Security=1;exact_count:Sharing=1;exact_count:Markdown and PDF output=1;exact_count:Secure by default=1;exact_count:Team access controls=1;order:### Release Notes|Export|Security|Sharing|Markdown and PDF output|Secure by default|Team access controls	reference	Checked-in repo PPTX sample guarding Accurate callout reading-order recovery instead of the balanced source-order emission
pdf_image_xobject_repo_sample	pdf	samples/main_process/pdf/assets/pdf_image_xobject.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;image;xobject;repo_sample	no_empty_output;contains_all:# XObject image sample|Uses drawImage(), which should create an Image XObject referenced by Do.;order:# XObject image sample|Uses drawImage(), which should create an Image XObject referenced by Do.;exact_count:Uses drawImage(), which should create an Image XObject referenced by Do.=1	reference	Checked-in repo PDF sample guarding stable text extraction around an Image XObject-bearing PDF fixture
pdf_image_inline_repo_sample	pdf	samples/main_process/pdf/assets/pdf_image_inline.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;image;inline;repo_sample	no_empty_output;contains_all:# Inline image sample|Uses drawInlineImage(), which should emit BI/ID/EI inline image operators.;order:# Inline image sample|Uses drawInlineImage(), which should emit BI/ID/EI inline image operators.;exact_count:Uses drawInlineImage(), which should emit BI/ID/EI inline image operators.=1	reference	Checked-in repo PDF sample guarding stable text extraction around an inline-image PDF fixture
pdf_image_form_xobject_repo_sample	pdf	samples/main_process/pdf/assets/pdf_image_form_xobject.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;image;form_xobject;repo_sample	no_empty_output;contains_all:# Form XObject image sample|Creates a form, draws an image inside the form, then places the form with doForm().|## Image inside Form XObject;order:# Form XObject image sample|Creates a form, draws an image inside the form, then places the form with doForm().|## Image inside Form XObject;exact_count:Creates a form, draws an image inside the form, then places the form with doForm().=1;exact_count:## Image inside Form XObject=1	reference	Checked-in repo PDF sample guarding text retention and section order in a form-XObject image fixture
pdf_image_no_caption_negative_repo_sample	pdf	samples/main_process/pdf/metadata/pdf_image_no_caption_negative.pdf	tool_fixture	Apache-2.0	repo_tracked	small	pdf;image;caption_negative;repo_sample	no_empty_output;image_ref;asset_count_min:1;contains_all:This chart appears in the report and is referenced by the paragraph below.;exact_count:This chart appears in the report and is referenced by the paragraph below.=1;not_contains:Figure 1. PDF caption	reference	Checked-in repo PDF sample guarding that a nearby uncaptained image still materializes as an image block without inventing a false figure caption
